run,algorithm,persona,total_episodes,total_timesteps,reward_mean,reward_std,reward_min,reward_max,length_mean,length_std,length_max,lines_mean,lines_max,hard_drops_mean,soft_drops_mean,rotations_mean
a2c_explorer,a2c,explorer,96558,5120,49.81070444706808,26.797028559458468,18.0,180.0,24.90535222353404,13.398514279729234,90.0,,,,,
a2c_survivor,a2c,survivor,96558,5120,12.45267611176702,6.699257139864617,4.5,45.0,24.90535222353404,13.398514279729234,90.0,,,,,
ppo_explorer,ppo,explorer,89937,5120,67.00474776788197,44.11437179197008,20.0,310.0,33.50237388394098,22.05718589598504,155.0,,,,,
ppo_survivor,ppo,survivor,88814,5120,17.06568784200689,11.31108272632827,5.0,84.5,34.13137568401378,22.62216545265654,169.0,,,,,
